xc_id,species_code,common_name,scientific_name,quality,lat,lng,location,date_recorded,length_seconds,filename_raw,filename_wav,download_status,birdnet_processed,qaqc_passed
1135215,TURDMIGR,American Robin,Turdus migratorius,A,37.8929,,"Raven Run, Fayette County, Kentucky",2026-05-17,0:06,TURDMIGR_1135215_QA.mp3,TURDMIGR_1135215_QA.wav,success,,
1135112,TURDMIGR,American Robin,Turdus migratorius,A,38.0695,,Hisle Park,2026-05-16,0:26,TURDMIGR_1135112_QA.mp3,TURDMIGR_1135112_QA.wav,success,,
1105213,TURDMIGR,American Robin,Turdus migratorius,A,48.0178,,"Wood Fence Area, Deer Park Road, Port Angeles, Clallam County, Washington",2026-04-27,4:38,TURDMIGR_1105213_QA.mp3,TURDMIGR_1105213_QA.wav,success,,
1100538,TURDMIGR,American Robin,Turdus migratorius,A,42.0759,,"City of Jamestown, Chautauqua County, New York",2026-04-17,1:54,TURDMIGR_1100538_QA.mp3,TURDMIGR_1100538_QA.wav,success,,
1093668,TURDMIGR,American Robin,Turdus migratorius,A,40.0626,,"Elkins Park, PA",2026-04-03,7:21,TURDMIGR_1093668_QA.mp3,TURDMIGR_1093668_QA.wav,success,,
1092642,TURDMIGR,American Robin,Turdus migratorius,A,40.0626,,"Elkins Park, PA",2026-04-01,12:13,TURDMIGR_1092642_QA.mp3,TURDMIGR_1092642_QA.wav,success,,
1089129,TURDMIGR,American Robin,Turdus migratorius,A,38.8928,,"Alexandria, Campbell County, Kentucky",2026-03-18,0:16,TURDMIGR_1089129_QA.mp3,TURDMIGR_1089129_QA.wav,success,,
1079586,TURDMIGR,American Robin,Turdus migratorius,A,42.7275,,"Pond Street, Georgetown, Essex County, Massachusetts",2025-06-01,0:41,TURDMIGR_1079586_QA.mp3,TURDMIGR_1079586_QA.wav,success,,
1100535,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,42.0762,,"City of Jamestown, Chautauqua County, New York",2026-04-17,2:33,POECATRI_1100535_QA.mp3,POECATRI_1100535_QA.wav,success,,
1095084,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,57.821,,"Home residence, Kodiak, Kodiak Isl. Borough, Alaska",2025-12-10,0:30,POECATRI_1095084_QA.mp3,POECATRI_1095084_QA.wav,success,,
1087463,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,45.9315,,"Masonville Township (near  Rapid River), Delta County, Michigan",2026-02-09,1:13,POECATRI_1087463_QA.mp3,POECATRI_1087463_QA.wav,success,,
1078261,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,45.8412,,"Escanaba Township (near  Flat Rock), Delta County, Michigan",2026-01-31,3:22,POECATRI_1078261_QA.mp3,POECATRI_1078261_QA.wav,success,,
1073855,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,48.1401,,"Dungeness Recreation Area, Clallam County, Washington",2026-01-19,0:31,POECATRI_1073855_QA.mp3,POECATRI_1073855_QA.wav,success,,
1047655,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,48.1401,,"Dungeness Recreation Area, Clallam County, Washington",2025-10-12,1:12,POECATRI_1047655_QA.mp3,POECATRI_1047655_QA.wav,success,,
1047654,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,48.1401,,"Dungeness Recreation Area, Clallam County, Washington",2025-10-12,1:03,POECATRI_1047654_QA.mp3,POECATRI_1047654_QA.wav,success,,
1035996,POECATRI,Black-capped Chickadee,Poecile atricapillus,A,41.2279,,"Oscawana, Croton-on-Hudson, Westchester County, New York",2025-09-01,1:04,POECATRI_1035996_QA.mp3,POECATRI_1035996_QA.wav,success,,
1107072,MELOMELO,Song Sparrow,Melospiza melodia,A,,,Hisle Park,2026-05-09,1:34,MELOMELO_1107072_QA.mp3,MELOMELO_1107072_QA.wav,success,,
1095092,MELOMELO,Song Sparrow,Melospiza melodia,A,,,"Cape Area of Spruce Cape, Kodiak, AK",2026-04-07,1:12,MELOMELO_1095092_QA.mp3,MELOMELO_1095092_QA.wav,success,,
1092304,MELOMELO,Song Sparrow,Melospiza melodia,A,31.539,,"Patagonia, Santa Cruz County, Arizona",2026-03-29,1:14,MELOMELO_1092304_QA.mp3,MELOMELO_1092304_QA.wav,success,,
1090713,MELOMELO,Song Sparrow,Melospiza melodia,A,36.6893,,"Locke-Paddon Park, Marina, Monterey County, California",2026-03-23,0:47,MELOMELO_1090713_QA.mp3,MELOMELO_1090713_QA.wav,success,,
1090712,MELOMELO,Song Sparrow,Melospiza melodia,A,36.6893,,"Locke-Paddon Park, Marina, Monterey County, California",2026-03-23,0:18,MELOMELO_1090712_QA.mp3,MELOMELO_1090712_QA.wav,success,,
1089603,MELOMELO,Song Sparrow,Melospiza melodia,A,38.2657,,"Cosumnes River Preserve, Sacramento County, California",2026-03-19,0:14,MELOMELO_1089603_QA.mp3,MELOMELO_1089603_QA.wav,success,,
1085542,MELOMELO,Song Sparrow,Melospiza melodia,A,35.8585,,"Cuyamungue Grant, Santa Fe County, New Mexico",2023-03-23,0:24,MELOMELO_1085542_QA.mp3,MELOMELO_1085542_QA.wav,success,,
1082018,MELOMELO,Song Sparrow,Melospiza melodia,A,36.5985,,"Del Monte Forest, Monterey County, California",2026-02-18,0:44,MELOMELO_1082018_QA.mp3,MELOMELO_1082018_QA.wav,success,,
1133843,CORVBRACH,American Crow,Corvus brachyrhynchos,A,25.138,,"Flamingo Campground, Everglades National Park, Florida",2026-04-28,0:35,CORVBRACH_1133843_QA.mp3,CORVBRACH_1133843_QA.wav,success,,
1104243,CORVBRACH,American Crow,Corvus brachyrhynchos,A,47.6573,,"Seattle, King County, Washington",2008-06-29,0:28,CORVBRACH_1104243_QA.mp3,CORVBRACH_1104243_QA.wav,success,,
1056042,CORVBRACH,American Crow,Corvus brachyrhynchos,A,45.4864,,"Cape Meares, Tillamook County, Oregon",2024-08-04,0:02,CORVBRACH_1056042_QA.mp3,CORVBRACH_1056042_QA.wav,success,,
1039176,CORVBRACH,American Crow,Corvus brachyrhynchos,A,47.3133,,"Sheyenne River (near  Luverne), Griggs County, North Dakota",2025-09-07,1:36,CORVBRACH_1039176_QA.mp3,CORVBRACH_1039176_QA.wav,success,,
1034477,CORVBRACH,American Crow,Corvus brachyrhynchos,A,41.2482,,"Pound Ridge Reservation Lewisboro (near  Cross River), Westchester County, New York",2025-08-31,0:34,CORVBRACH_1034477_QA.mp3,CORVBRACH_1034477_QA.wav,success,,
1027240,CORVBRACH,American Crow,Corvus brachyrhynchos,A,42.0737,,"Jamestown, Chautauqua County, New York",2025-07-03,2:19,CORVBRACH_1027240_QA.mp3,CORVBRACH_1027240_QA.wav,success,,
1007629,CORVBRACH,American Crow,Corvus brachyrhynchos,A,38.7262,,"Falmouth, Pendleton County, Kentucky",2024-08-26,1:03,CORVBRACH_1007629_QA.mp3,CORVBRACH_1007629_QA.wav,success,,
984442,CORVBRACH,American Crow,Corvus brachyrhynchos,A,33.0073,,"Royse City, Collin County, Texas",2025-03-22,1:27,CORVBRACH_984442_QA.mp3,CORVBRACH_984442_QA.wav,success,,
1059662,CYANCRIS,Blue Jay,Cyanocitta cristata,A,39.1774,,"Green Township (near  Cincinnati), Hamilton County, Ohio",2025-09-10,1:39,CYANCRIS_1059662_QA.mp3,CYANCRIS_1059662_QA.wav,success,,
1051304,CYANCRIS,Blue Jay,Cyanocitta cristata,A,39.019,,"Polk Township (near  Chapel Hill), Monroe County, Indiana",2025-10-03,5:16,CYANCRIS_1051304_QA.mp3,CYANCRIS_1051304_QA.wav,success,,
1046664,CYANCRIS,Blue Jay,Cyanocitta cristata,A,40.6981,,"Cooper Av/64 Pl (near  New York), Queens County, New York",2025-10-09,0:12,CYANCRIS_1046664_QA.mp3,CYANCRIS_1046664_QA.wav,success,,
1038505,CYANCRIS,Blue Jay,Cyanocitta cristata,A,45.5681,,"Friess Ranch Road, Hemlock Lake (near  Rice Lake), Barron County, Wisconsin",2025-08-15,2:25,CYANCRIS_1038505_QA.mp3,CYANCRIS_1038505_QA.wav,success,,
1036141,CYANCRIS,Blue Jay,Cyanocitta cristata,A,40.8918,,"Tama (near  Burlington), Des Moines, Iowa",2025-04-25,1:19,CYANCRIS_1036141_QA.mp3,CYANCRIS_1036141_QA.wav,success,,
1010650,CYANCRIS,Blue Jay,Cyanocitta cristata,A,38.3665,,"Lusby, Calvert County, Maryland",2025-06-28,0:35,CYANCRIS_1010650_QA.mp3,CYANCRIS_1010650_QA.wav,success,,
1007688,CYANCRIS,Blue Jay,Cyanocitta cristata,A,39.2505,,"Crosby Township (near  Harrison), Hamilton County, Ohio",2025-02-12,1:06,CYANCRIS_1007688_QA.mp3,CYANCRIS_1007688_QA.wav,success,,
994294,CYANCRIS,Blue Jay,Cyanocitta cristata,A,41.0149,,"Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York",2025-05-03,0:36,CYANCRIS_994294_QA.mp3,CYANCRIS_994294_QA.wav,success,,
1100158,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,42.0807,,"Kiantone (near  Jamestown), Chautauqua County, New York",2026-04-15,3:28,ZONOALBI_1100158_QA.mp3,ZONOALBI_1100158_QA.wav,success,,
1015145,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,39.0835,,"Diamond Stars (near  Covington), Kenton County, Kentucky",2024-10-25,0:53,ZONOALBI_1015145_QA.mp3,ZONOALBI_1015145_QA.wav,success,,
940087,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,38.2663,,"Pueblo Nature Center, Pueblo Cty, Colorado",2024-10-11,0:19,ZONOALBI_940087_QA.mp3,ZONOALBI_940087_QA.wav,success,,
915935,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,44.5141,,"Black Brook (near  Au Sable Forks), Clinton County, New York",2024-06-05,0:46,ZONOALBI_915935_QA.mp3,ZONOALBI_915935_QA.wav,success,,
844264,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,47.1197,,"Sax-Zim Bog (Owl Ave), St. Louis County, Minnesota",2023-06-23,1:32,ZONOALBI_844264_QA.mp3,ZONOALBI_844264_QA.wav,success,,
821692,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,45.9384,,"Ensign Township (near  Ensign), Delta County, Michigan",2023-08-10,0:36,ZONOALBI_821692_QA.mp3,ZONOALBI_821692_QA.wav,success,,
793715,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,42.0359,,"Harmony (near  Niobe), Chautauqua County, New York",2023-04-15,1:02,ZONOALBI_793715_QA.mp3,ZONOALBI_793715_QA.wav,success,,
792207,ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,A,42.0756,,"Busti (near  Jamestown), Chautauqua County, New York",2023-04-10,0:18,ZONOALBI_792207_QA.mp3,ZONOALBI_792207_QA.wav,success,,
1103243,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,30.4255,,"St. Martin Parish, Louisiana",2026-04-25,0:56,HYLOMUST_1103243_QA.mp3,HYLOMUST_1103243_QA.wav,success,,
1038301,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,42.412,,"Williamsburg, Hampshire County, Massachusetts",2025-06-19,0:46,HYLOMUST_1038301_QA.mp3,HYLOMUST_1038301_QA.wav,success,,
1018228,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,43.0669,,"Madison, Dane County, Wisconsin",2025-05-02,0:53,HYLOMUST_1018228_QA.mp3,HYLOMUST_1018228_QA.wav,success,,
1001801,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,41.0149,,"Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York",2025-05-24,0:44,HYLOMUST_1001801_QA.mp3,HYLOMUST_1001801_QA.wav,success,,
995787,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,41.0149,,"Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York",2025-05-07,0:33,HYLOMUST_995787_QA.mp3,HYLOMUST_995787_QA.wav,success,,
995785,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,41.0149,,"Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York",2025-05-07,0:13,HYLOMUST_995785_QA.mp3,HYLOMUST_995785_QA.wav,success,,
934452,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,38.6088,,"Mike Long's Woods Road, Page County, Virginia",2024-05-16,0:27,HYLOMUST_934452_QA.mp3,HYLOMUST_934452_QA.wav,success,,
932290,HYLOMUST,Wood Thrush,Hylocichla mustelina,A,42.0408,,"Fannie Stebbins Wildlife Refuge, Hampden County, Massachusetts",2024-05-07,0:35,HYLOMUST_932290_QA.mp3,HYLOMUST_932290_QA.wav,success,,
1037293,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,42.412,,"Williamsburg, Hampshire County, Massachusetts",2025-06-15,0:33,SEIUAURO_1037293_QA.mp3,SEIUAURO_1037293_QA.wav,success,,
1018252,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,43.0669,,"Madison, Dane County, Wisconsin",2024-05-29,3:51,SEIUAURO_1018252_QA.mp3,SEIUAURO_1018252_QA.wav,success,,
1014599,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,46.1874,,"Pickford Township (near  Pickford), Chippewa County, Michigan",2025-06-10,1:16,SEIUAURO_1014599_QA.mp3,SEIUAURO_1014599_QA.wav,success,,
1002741,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,44.366,,"Tuttle Rd, Iosco Cty, Michigan",2025-05-15,0:28,SEIUAURO_1002741_QA.mp3,SEIUAURO_1002741_QA.wav,success,,
964345,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,42.3267,,"Ross Township (near  Augusta), Kalamazoo County, Michigan",2023-08-14,0:11,SEIUAURO_964345_QA.mp3,SEIUAURO_964345_QA.wav,success,,
934450,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,38.6088,,"Mike Long's Woods Road, Page County, Virginia",2024-05-16,0:48,SEIUAURO_934450_QA.mp3,SEIUAURO_934450_QA.wav,success,,
934449,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,38.6088,,"Mike Long's Woods Road, Page County, Virginia",2024-05-16,0:45,SEIUAURO_934449_QA.mp3,SEIUAURO_934449_QA.wav,success,,
934448,SEIUAURO,Ovenbird,Seiurus aurocapilla,A,38.6088,,"Mike Long's Woods Road, Page County, Virginia",2024-05-16,0:08,SEIUAURO_934448_QA.mp3,SEIUAURO_934448_QA.wav,success,,
1100228,CATHGUTT,Hermit Thrush,Catharus guttatus,A,45.8696,,"Ensign Township (near  Gladstone), Delta County, Michigan",2026-04-15,5:31,CATHGUTT_1100228_QA.mp3,CATHGUTT_1100228_QA.wav,success,,
1080765,CATHGUTT,Hermit Thrush,Catharus guttatus,A,31.5512,,"Rock Corral Canyon, Santa Cruz County, Arizona",2026-02-14,0:31,CATHGUTT_1080765_QA.mp3,CATHGUTT_1080765_QA.wav,success,,
1071279,CATHGUTT,Hermit Thrush,Catharus guttatus,A,35.9499,,"Chapel Hill, Orange County, North Carolina",2026-01-07,0:16,CATHGUTT_1071279_QA.mp3,CATHGUTT_1071279_QA.wav,success,,
1068838,CATHGUTT,Hermit Thrush,Catharus guttatus,A,60.208,,"Bear Creek, Kenai Peninsula Borough, Alaska",2025-06-20,3:50,CATHGUTT_1068838_QA.mp3,CATHGUTT_1068838_QA.wav,success,,
1060759,CATHGUTT,Hermit Thrush,Catharus guttatus,A,42.1658,,"Dahlem Center, Summit Township, Jackson County, Michigan",2025-11-22,0:37,CATHGUTT_1060759_QA.mp3,CATHGUTT_1060759_QA.wav,success,,
1048898,CATHGUTT,Hermit Thrush,Catharus guttatus,A,59.6449,,"Homer, Kenai Peninsula Borough, Alaska",2022-06-20,0:41,CATHGUTT_1048898_QA.mp3,CATHGUTT_1048898_QA.wav,success,,
1038297,CATHGUTT,Hermit Thrush,Catharus guttatus,A,42.412,,"Williamsburg, Hampshire County, Massachusetts",2025-06-15,2:34,CATHGUTT_1038297_QA.mp3,CATHGUTT_1038297_QA.wav,success,,
1037508,CATHGUTT,Hermit Thrush,Catharus guttatus,A,42.412,,"Williamsburg, Hampshire County, Massachusetts",2025-06-15,0:54,CATHGUTT_1037508_QA.mp3,CATHGUTT_1037508_QA.wav,success,,
1107405,SETORUTI,American Redstart,Setophaga ruticilla,A,37.8929,,"Raven Run, Fayette County, Kentucky",2026-05-10,0:05,SETORUTI_1107405_QA.mp3,SETORUTI_1107405_QA.wav,success,,
1107066,SETORUTI,American Redstart,Setophaga ruticilla,A,,,Hisle Park,2026-05-09,0:18,SETORUTI_1107066_QA.mp3,SETORUTI_1107066_QA.wav,success,,
1107065,SETORUTI,American Redstart,Setophaga ruticilla,A,,,Hisle Park,2026-05-09,0:30,SETORUTI_1107065_QA.mp3,SETORUTI_1107065_QA.wav,success,,
1087127,SETORUTI,American Redstart,Setophaga ruticilla,A,44.2528,,"Tawas Point State Park, Iosco County, Michigan",2022-05-14,0:07,SETORUTI_1087127_QA.mp3,SETORUTI_1087127_QA.wav,success,,
1079599,SETORUTI,American Redstart,Setophaga ruticilla,A,41.3397,,"Barn Island, New London County, Connecticut",2021-06-07,0:23,SETORUTI_1079599_QA.mp3,SETORUTI_1079599_QA.wav,success,,
1033952,SETORUTI,American Redstart,Setophaga ruticilla,A,41.0149,,"Hart’s Brook Park and Preserve (near  Hartsdale), Westchester County, New York",2025-08-29,0:30,SETORUTI_1033952_QA.mp3,SETORUTI_1033952_QA.wav,success,,
1004593,SETORUTI,American Redstart,Setophaga ruticilla,A,32.7205,,"Point Loma Nazarene University, San Diego, California",2025-06-06,2:18,SETORUTI_1004593_QA.mp3,SETORUTI_1004593_QA.wav,success,,
939900,SETORUTI,American Redstart,Setophaga ruticilla,A,44.0185,,"Au Sable SF - Big Creek Rd, Michigan",2024-05-15,0:13,SETORUTI_939900_QA.mp3,SETORUTI_939900_QA.wav,success,,
